id	time_scraped	follower	followed
2472026	2022-10-30T10:04:42.378559Z	13853	32181
2472032	2022-10-30T10:04:49.297178Z	13853	44419
2472037	2022-10-30T10:04:59.318204Z	13853	97657
2472043	2022-10-30T10:05:06.993496Z	13853	51403
2472046	2022-10-30T10:05:10.057249Z	13853	205428
2472050	2022-10-30T10:05:13.497198Z	13853	36782
2472053	2022-10-30T10:05:15.597665Z	13853	71250
2472055	2022-10-30T10:05:19.570786Z	13853	16094
2472092	2022-10-30T10:05:47.481025Z	13853	61134
2472098	2022-10-30T10:05:57.517442Z	13853	22968
2472104	2022-10-30T10:06:06.392866Z	13853	15629
2472107	2022-10-30T10:06:15.729006Z	13853	16836
2472111	2022-10-30T10:06:20.044972Z	13853	46471
2472114	2022-10-30T10:06:23.281113Z	13853	34821
2472117	2022-10-30T10:06:25.422115Z	13853	100785
2472240	2022-10-30T10:08:05.881252Z	13853	18152
2886662	2022-11-08T11:45:11.167905Z	19388	20887
2886601	2022-11-08T11:43:43.851933Z	19385	2612
2886605	2022-11-08T11:43:47.927435Z	19385	2198
2886608	2022-11-08T11:43:53.613013Z	19385	8917
2886632	2022-11-08T11:44:33.207472Z	19385	2588
2886637	2022-11-08T11:44:41.887431Z	19385	2550
2886584	2022-11-08T11:43:19.203550Z	19388	265306
2886595	2022-11-08T11:43:30.419632Z	19388	6518
2886614	2022-11-08T11:44:02.135509Z	19388	29809
2886618	2022-11-08T11:44:10.575654Z	19388	166922
2886624	2022-11-08T11:44:18.955688Z	19388	14763
2886626	2022-11-08T11:44:26.935572Z	19388	25431
2886643	2022-11-08T11:44:46.897295Z	19388	12685
2886653	2022-11-08T11:44:53.556937Z	19388	34809
2886674	2022-11-08T11:45:21.533568Z	19388	166799
2886683	2022-11-08T11:45:30.459936Z	19388	311516
2886693	2022-11-08T11:45:44.011478Z	19388	9427
2956947	2022-11-09T14:13:46.615895Z	19409	135219
2956953	2022-11-09T14:14:08.447905Z	19409	145007
2956962	2022-11-09T14:14:23.836231Z	19409	82048
2956971	2022-11-09T14:14:37.575990Z	19409	425849
2957020	2022-11-09T14:16:42.808018Z	19409	35635
2957027	2022-11-09T14:16:57.748154Z	19409	64304
2957034	2022-11-09T14:17:19.555943Z	19409	56171
2957040	2022-11-09T14:17:35.778697Z	19409	702
2957044	2022-11-09T14:17:53.548964Z	19409	13063
2957047	2022-11-09T14:18:04.240909Z	19409	292834
2957053	2022-11-09T14:18:13.553464Z	19409	20391
2957055	2022-11-09T14:18:21.283954Z	19409	40381
2957060	2022-11-09T14:18:30.616562Z	19409	12121
2957063	2022-11-09T14:18:39.568590Z	19409	15507
2957069	2022-11-09T14:18:49.944374Z	19409	158643
2957071	2022-11-09T14:19:03.160458Z	19409	214249
2957075	2022-11-09T14:19:12.083030Z	19409	35048
2957079	2022-11-09T14:19:18.400944Z	19409	64098
2471908	2022-10-30T10:02:29.819015Z	4118	56996
2471914	2022-10-30T10:02:38.085309Z	4118	284808
2471916	2022-10-30T10:02:41.333790Z	4118	15314
2471920	2022-10-30T10:02:44.781383Z	4118	76335
2471926	2022-10-30T10:02:55.713959Z	4118	46787
2471937	2022-10-30T10:03:07.419835Z	14078	2348
2471941	2022-10-30T10:03:10.884995Z	14078	17394
2471944	2022-10-30T10:03:13.302725Z	14078	38461
2471948	2022-10-30T10:03:16.225144Z	14078	39304
2471951	2022-10-30T10:03:18.002611Z	14078	12651
2471954	2022-10-30T10:03:20.101086Z	14078	61502
2471962	2022-10-30T10:03:22.137005Z	14078	41061
2471969	2022-10-30T10:03:27.877534Z	14078	64457
2471975	2022-10-30T10:03:35.666891Z	14078	425850
2471981	2022-10-30T10:03:43.637463Z	14078	3736
2471987	2022-10-30T10:03:50.158449Z	14078	10932
2471995	2022-10-30T10:03:59.309227Z	14078	246835
2472002	2022-10-30T10:04:09.153090Z	14078	425851
