id	time_scraped	follower	followed
1171062	2022-10-13T19:06:24.189311Z	8429	98689
1171105	2022-10-13T19:06:39.322335Z	8429	39897
1171113	2022-10-13T19:06:42.225318Z	8429	88523
1171120	2022-10-13T19:06:47.301404Z	8429	80370
1171128	2022-10-13T19:06:50.875896Z	8429	3022
1171136	2022-10-13T19:06:55.309255Z	8429	93903
1171141	2022-10-13T19:06:58.173529Z	8429	49194
1171186	2022-10-13T19:07:15.621327Z	8429	60741
1171564	2022-10-13T19:09:39.157095Z	8429	58925
1171767	2022-10-13T19:11:11.969265Z	8429	60700
1170903	2022-10-13T19:05:23.624824Z	8432	7984
1170921	2022-10-13T19:05:28.321482Z	8432	343035
1170929	2022-10-13T19:05:31.681214Z	8432	30695
1170936	2022-10-13T19:05:35.445266Z	8432	6996
1170943	2022-10-13T19:05:39.105267Z	8432	30458
1170955	2022-10-13T19:05:45.477243Z	8432	16683
1170984	2022-10-13T19:05:56.617326Z	8432	10535
1170990	2022-10-13T19:05:58.545090Z	8432	2517
1170998	2022-10-13T19:05:59.742093Z	8432	251850
1171007	2022-10-13T19:06:04.133705Z	8432	32395
1171015	2022-10-13T19:06:07.569251Z	8432	10660
1171023	2022-10-13T19:06:11.069919Z	8432	49210
1171032	2022-10-13T19:06:14.025462Z	8432	22918
1171040	2022-10-13T19:06:16.641430Z	8432	28605
1171048	2022-10-13T19:06:19.337227Z	8432	74228
1170975	2022-10-13T19:05:53.933397Z	8418	52913
1170981	2022-10-13T19:05:55.325425Z	8418	17730
1171067	2022-10-13T19:06:27.025488Z	8418	40190
1171071	2022-10-13T19:06:28.353477Z	8418	57298
1171078	2022-10-13T19:06:29.641845Z	8418	39696
1171083	2022-10-13T19:06:32.685595Z	8418	9345
1171095	2022-10-13T19:06:35.971830Z	8418	1694
1171252	2022-10-13T19:07:41.677465Z	8418	5358
1171306	2022-10-13T19:08:00.909829Z	8418	46659
1171322	2022-10-13T19:08:10.149911Z	8418	1833
1171409	2022-10-13T19:08:43.185359Z	8418	3502
1171419	2022-10-13T19:08:46.129547Z	8418	48576
1171433	2022-10-13T19:08:49.907332Z	8418	26324
1171441	2022-10-13T19:08:55.385551Z	8418	60317
1171450	2022-10-13T19:09:00.485670Z	8418	48615
1171457	2022-10-13T19:09:04.921511Z	8418	26340
1171487	2022-10-13T19:09:14.538144Z	8418	5438
1171491	2022-10-13T19:09:17.690905Z	8418	37245
1171496	2022-10-13T19:09:18.857415Z	8418	3430
1171500	2022-10-13T19:09:20.038919Z	8418	43630
1171503	2022-10-13T19:09:21.293897Z	8418	47368
1171507	2022-10-13T19:09:22.577677Z	8418	26306
1280500	2022-10-14T11:29:38.740661Z	8768	343036
1280501	2022-10-14T11:29:39.401840Z	8768	204342
1280514	2022-10-14T11:29:49.541706Z	8768	181642
1280515	2022-10-14T11:29:50.363951Z	8768	44313
1280516	2022-10-14T11:29:54.140890Z	8768	343037
1280517	2022-10-14T11:29:56.637517Z	8768	87361
1280518	2022-10-14T11:29:57.851779Z	8768	180273
1280519	2022-10-14T11:29:58.780309Z	8768	154981
1280520	2022-10-14T11:29:59.616414Z	8768	343038
1280521	2022-10-14T11:30:02.171314Z	8768	5596
1280534	2022-10-14T11:30:21.971929Z	8768	343039
1280535	2022-10-14T11:30:23.327891Z	8768	65807
1280536	2022-10-14T11:30:24.507714Z	8768	343040
1280538	2022-10-14T11:30:25.897880Z	8768	207064
1280551	2022-10-14T11:30:40.199182Z	8768	5017
1280552	2022-10-14T11:30:42.008836Z	8768	343041
1280553	2022-10-14T11:30:42.922584Z	8768	76938
1280554	2022-10-14T11:30:43.497957Z	8768	95597
1280555	2022-10-14T11:30:44.152946Z	8768	26294
1280556	2022-10-14T11:30:45.059425Z	8768	83856
1280557	2022-10-14T11:30:45.873464Z	8768	52998
1280558	2022-10-14T11:30:46.376380Z	8768	32004
1280559	2022-10-14T11:30:46.912143Z	8768	279495
1280560	2022-10-14T11:30:47.612908Z	8768	287551
1280565	2022-10-14T11:30:57.721136Z	8768	9211
1280572	2022-10-14T11:31:07.841931Z	8768	1794
1280573	2022-10-14T11:31:08.430655Z	8768	64012
1280574	2022-10-14T11:31:08.915883Z	8768	20627
1280575	2022-10-14T11:31:09.506737Z	8768	85517
1280576	2022-10-14T11:31:10.456193Z	8768	63569
1280577	2022-10-14T11:31:10.949543Z	8768	343042
1280586	2022-10-14T11:31:19.156310Z	8768	343043
1280587	2022-10-14T11:31:20.421770Z	8768	251820
1280588	2022-10-14T11:31:21.428567Z	8768	91889
1280596	2022-10-14T11:31:27.902484Z	8768	343044
1280597	2022-10-14T11:31:28.707575Z	8768	252987
1280598	2022-10-14T11:31:29.582275Z	8768	10795
1280599	2022-10-14T11:31:30.711217Z	8768	343045
1280600	2022-10-14T11:31:32.750713Z	8768	34951
1280601	2022-10-14T11:31:34.352480Z	8768	32043
1280602	2022-10-14T11:31:36.448118Z	8768	343046
1145671	2022-10-13T15:53:33.892201Z	8416	21455
1170925	2022-10-13T19:05:30.985160Z	8429	1772
1170993	2022-10-13T19:05:59.417667Z	8415	9082
1170999	2022-10-13T19:06:01.697557Z	8415	40580
1171011	2022-10-13T19:06:08.681625Z	8415	74174
1171021	2022-10-13T19:06:11.757585Z	8415	52706
1171430	2022-10-13T19:08:49.870425Z	8415	211095
1171510	2022-10-13T19:09:22.905867Z	8415	23993
1171518	2022-10-13T19:09:24.209440Z	8415	39050
1171523	2022-10-13T19:09:26.781646Z	8415	57624
1171528	2022-10-13T19:09:28.537737Z	8415	62971
1171532	2022-10-13T19:09:29.694892Z	8415	101242
1171557	2022-10-13T19:09:39.125552Z	8415	5538
1170825	2022-10-13T19:04:41.925591Z	2698	73867
1171178	2022-10-13T19:07:11.861567Z	2698	7514
